Timestamp,Age,Gender,Country,State,Occupation,Do you work/study in you state of Residence?,"Financially, which period was more difficult for you?","Emotionally / mentally, which period was more difficult for you?",During which period was your health more affected?,Did you or someone you know suffer from covid19?,Who suffered from covid19?,How severe was the condition,How were you feeling during this time?,How did your interaction with friends change during covid19?,What was your major method of connecting with friends during lockdown?,How was your relationship with your family affected during covid19?,How do you feel about change in interaction with the colleagues/ classmates/ customers?,Did you feel that in case of emergency you can rely on friends/relatives for help,How was your occupation affected by covid19?,How was your studies affected by covid19?,Did your household expenditure increase or decrease?,Did you receive any incentive or financial help from government/bank?,Did your family had to make extra healthcare expenditure during covid19?,Does that person in your family have health insurance?,Did you have to take loan or insurance?,Did you feel anxious about your future during lockdown?,Did you feel lonely during lockdown?,Did you feel frustrated being confined at home for long time?,How many times you became a part of family argument?,Did you feel downhearted or depressed during lockdown/ covid?,How did change in occupation/ studies affect you emotionally and mentally?,Do you agree with the rule of complete lockdown in case of any future pandemic?,Do you feel more prepared to handle such situation in future?,"Do you feel that the healthcare, government, financial and educational sectors are capable of handling such situation in future?"
10/12/2021 12:17:15,30,Female,India,Himachal Pradesh,Corporate,No,Similar during both,Similar during both,My health was not affected,No,,,,1,Video Call,4,Interaction became difficult,4,Got new job / Started new Business,Normal,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Very Rare,Sometimes,Stressed,Maybe,Yes,Yes
10/12/2021 12:19:53,20,Male,India,Haryana,Student,No,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,4,Little worried,2,Video Call,4,Interaction became difficult,5,No Change,Declined,No change,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,Every other day,Sometimes,Normal,Maybe,Yes,Yes
10/12/2021 12:22:38,19,Female,INDIA,JHARKHAND,Student,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,4,Stressed,2,Text,3,Interaction became difficult,2,No Change,Normal,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,sometimes,Most of the times,Stressed,Yes,Yes,Maybe
10/12/2021 12:24:18,20,Male,India,Bihar,Student,No,Similar during both,Similar during both,2nd wave(2021),Yes,Close friend,2,Little worried,3,Call,5,I felt no change,3,Pay /Income decreased,Normal,Decrease,No,No,,,Most of the time,Sometimes,Never,sometimes,Sometimes,Stressed,No,No,No
10/12/2021 12:27:05,20,Male,India,Up,Student,No,Similar during both,Similar during both,My health was not affected,Yes,Family member,4,Stressed,4,Text,2,Interaction completely stopped,2,No Change,Declined,No change,Yes,No,,,Most of the time,Most of the time,Rarely,sometimes,Sometimes,Relaxed,Yes,Maybe,Yes
10/12/2021 12:28:49,23,Male,India,Himachal Pradesh,Corporate,Yes,Similar during both,Similar during both,My health was not affected,No,,,,3,Video Call,3,I felt no change,3,Lost job/ Business Closed,Normal,Increase,No,Yes,Yes,Insurance,Sometimes,Sometimes,Sometimes,Very Rare,Sometimes,Normal,Yes,Yes,No
10/12/2021 12:29:01,25,Female,India,Uttar Pradesh,Corporate,No,Similar during both,2nd wave(2021),1st wave(2020),Yes,"Myself, Family member, Close friend",3,Little worried,5,Call,5,It became more interactive,5,Got new job / Started new Business,Not relevant for me,No change,Yes,Yes,Yes,Insurance,Most of the time,Sometimes,Rarely,sometimes,Sometimes,Normal,Yes,Yes,No
10/12/2021 12:29:38,26,Male,India,Bihar,Corporate,Yes,Similar during both,1st wave(2020),2nd wave(2021),Yes,"Myself, Family member",3,Little worried,4,Call,4,Interaction became difficult,4,No Change,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,sometimes,Sometimes,Normal,Maybe,Yes,No
10/12/2021 12:31:46,19,Male,India,BIHAR,Student,No,Similar during both,2nd wave(2021),My health was not affected,Yes,Close friend,3,Stressed,1,Video Call,3,Interaction completely stopped,1,Pay /Income decreased,Declined,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Very Rare,Most of the times,Normal,Maybe,No,No
10/12/2021 12:38:01,19,Male,Indian,Bihar,Student,No,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,3,Not worried,4,Video Call,1,I felt no change,3,Not relevant for me,Improved,No change,No,No,,,Most of the time,Never,Most of the time,Not at all,Most of the times,Normal,No,No,No
10/12/2021 12:38:12,27,Female,India,Bihar,Student,No,2nd wave(2021),1st wave(2020),Similar during both,Yes,"Myself, Family member, Close friend",3,Little worried,2,Text,3,Interaction became difficult,4,Lost job/ Business Closed,Declined,Increase,No,Yes,No,None,Most of the time,Rarely,Most of the time,sometimes,Most of the times,Stressed,Maybe,Yes,No
10/12/2021 12:45:49,36,Female,India,Himachal pradesh,Medical,Yes,Similar during both,Similar during both,My health was not affected,Yes,Close friend,3,Little worried,2,Video Call,4,Interaction became difficult,4,Not relevant for me,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Sometimes,Rarely,sometimes,Sometimes,Normal,Yes,Yes,Yes
10/12/2021 12:49:38,23,Female,India,Bihar,Student,Yes,Similar during both,Similar during both,2nd wave(2021),Yes,Family member,3,Stressed,3,Call,3,I felt no change,4,Not relevant for me,Normal,Increase,No,Yes,Yes,Insurance,Rarely,Sometimes,Sometimes,sometimes,Sometimes,Stressed,Maybe,Maybe,No
10/12/2021 12:55:14,21,Male,India,Karnataka,Student,Yes,Similar during both,Similar during both,1st wave(2020),Yes,Family member,3,Stressed,2,Call,2,Interaction became difficult,3,Not relevant for me,Declined,Decrease,No,Yes,Yes,Insurance,Most of the time,Most of the time,Most of the time,Every other day,Most of the times,Stressed,Maybe,Maybe,Maybe
10/12/2021 12:58:02,23,Female,India,Bihar,Student,Yes,2nd wave(2021),2nd wave(2021),Similar during both,Yes,Family member,3,Little worried,4,Text,3,Interaction became difficult,4,No Change,Declined,Increase,No,Yes,Yes,None,Most of the time,Most of the time,Sometimes,Very Rare,Sometimes,Stressed,No,Yes,Maybe
10/12/2021 12:59:30,23,Female,India,Bihar,Student,Yes,Similar during both,1st wave(2020),My health was not affected,No,,,,2,Text,3,Interaction became difficult,1,Not relevant for me,Declined,Increase,No,Yes,Yes,None,Most of the time,Sometimes,Sometimes,Very Rare,Sometimes,Stressed,Yes,Yes,No
10/12/2021 13:04:08,19,Male,India,Uttar Pradesh,Student,Yes,2nd wave(2021),1st wave(2020),1st wave(2020),No,,,,2,Call,4,Interaction became difficult,3,Not relevant for me,Normal,Increase,No,Yes,No,None,Sometimes,Sometimes,Sometimes,sometimes,Sometimes,Stressed,Maybe,Yes,Maybe
10/12/2021 13:05:34,22,Female,India,Bihar,Corporate,No,Similar during both,1st wave(2020),My health was not affected,Yes,"Family member, Close friend",4,Little worried,1,Call,2,Interaction became difficult,4,No Change,Not relevant for me,Increase,No,No,,,Most of the time,Most of the time,Most of the time,sometimes,Most of the times,Stressed,Maybe,No,Maybe
10/12/2021 13:10:13,20,Male,India,Bihar,Student,Yes,2nd wave(2021),2nd wave(2021),Similar during both,No,,,,2,Call,3,Interaction became difficult,3,Not relevant for me,Declined,Increase,No,No,,,Most of the time,Sometimes,Most of the time,sometimes,Sometimes,Stressed,Yes,Yes,No
10/12/2021 13:13:43,22,Female,India,West Bengal,Student,Yes,1st wave(2020),2nd wave(2021),2nd wave(2021),Yes,Close friend,5,Stressed,2,Call,4,It became more interactive,3,Pay /Income decreased,Declined,No change,No,No,,,Most of the time,Sometimes,Sometimes,sometimes,Sometimes,Stressed,Maybe,No,Maybe
10/12/2021 13:16:09,41,Female,India,Ashwini M Joshi,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member",2,Stressed,4,Text,2,I felt no change,5,No Change,Not relevant for me,No change,No,Yes,Yes,None,Rarely,Sometimes,Sometimes,Very Rare,Rarely,Not relevant,Yes,Yes,Yes
10/12/2021 13:17:36,23,Female,India,Karnataka,Corporate,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,3,Little worried,3,Call,4,Interaction became difficult,4,No Change,Normal,Decrease,No,No,,,Most of the time,Most of the time,Sometimes,sometimes,Most of the times,Stressed,Yes,Yes,Maybe
10/12/2021 13:17:42,23,Female,India,Uttar Pradesh,Student,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,"Myself, Family member, Close friend",4,Little worried,2,Text,5,Interaction became difficult,3,Pay /Income decreased,Normal,No change,No,Yes,No,None,Sometimes,Sometimes,Rarely,Every other day,Sometimes,Normal,Yes,Yes,Maybe
10/12/2021 13:27:42,22,Female,India,Uttar Pradesh,Student,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Close friend,2,Stressed,1,Video Call,5,Interaction completely stopped,2,Not relevant for me,Declined,No change,No,Yes,Yes,None,Most of the time,Sometimes,Sometimes,Not at all,Sometimes,Stressed,Yes,Yes,Yes
10/12/2021 13:28:23,26,Female,India,Himachal Pradesh,Student,No,1st wave(2020),Similar during both,My health was not affected,Yes,Family member,5,Stressed,3,Video Call,5,I felt no change,3,Not relevant for me,Declined,Increase,No,No,,,Sometimes,Sometimes,Rarely,sometimes,Most of the times,Normal,Yes,Yes,No
10/12/2021 13:28:50,53,Female,India,Uttar Pradesh,Not employed,Yes,Similar during both,Similar during both,My health was not affected,Yes,Family member,4,Little worried,3,Call,4,I felt no change,3,No Change,Not relevant for me,No change,No,No,,,Rarely,Never,Rarely,sometimes,Rarely,Relaxed,Yes,No,Maybe
10/12/2021 13:30:00,58,Male,India,Jharkhand,Business,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Myself,4,Stressed,1,Call,4,Interaction became difficult,5,Pay /Income decreased,Not relevant for me,Increase,Yes,Yes,No,None,Rarely,Rarely,Never,Not at all,Never,Normal,Maybe,No,Maybe
10/12/2021 13:40:04,27,Male,India,State of Mahārāshtra,Corporate,No,1st wave(2020),1st wave(2020),My health was not affected,Yes,Myself,1,Little worried,4,Video Call,4,I felt no change,5,No Change,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Sometimes,Very Rare,Sometimes,Normal,No,Yes,Maybe
10/12/2021 13:40:33,31,Female,INDIA,Himachal Pradesh,Education,No,Similar during both,1st wave(2020),My health was not affected,Yes,Family member,3,Little worried,1,Call,3,I felt no change,4,Not relevant for me,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Most of the time,Sometimes,Every other day,Sometimes,Not relevant,Yes,Maybe,Yes
10/12/2021 13:46:53,51,Female,India,karnataka,Education,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,Myself,1,Little worried,4,Call,3,It became more interactive,4,Lost job/ Business Closed,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,sometimes,Sometimes,Stressed,Yes,Yes,Yes
10/12/2021 13:52:18,21,Male,india,manthan kuamr,Student,No,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Family member,3,Little worried,3,Video Call,3,Interaction became difficult,3,Not relevant for me,Declined,Decrease,No,Yes,No,None,Sometimes,Sometimes,Sometimes,sometimes,Rarely,Normal,Yes,Yes,Yes
10/12/2021 14:02:25,20,Male,India,Uttar Pradesh,Corporate,Yes,Similar during both,Similar during both,My health was not affected,No,,,,5,Meeting,1,I felt no change,1,Not relevant for me,Declined,Decrease,No,No,,,Never,Rarely,Never,Every other day,Never,Relaxed,No,Yes,Yes
10/12/2021 14:03:33,27,Female,India,Uttar Pradesh,Education,Yes,Similar during both,1st wave(2020),1st wave(2020),Yes,Family member,4,Stressed,3,Video Call,4,I felt no change,4,Pay /Income increased,Declined,Increase,No,Yes,Yes,Insurance,Sometimes,Rarely,Sometimes,sometimes,Sometimes,Stressed,No,Yes,Yes
10/12/2021 14:07:27,19,Male,India,Rajasthan,Student,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",3,Little worried,5,Text,3,I felt no change,5,Not relevant for me,Improved,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Rarely,Very Rare,Rarely,Normal,Yes,Yes,Yes
10/12/2021 14:07:38,21,Male,India,Hari Hara Sudhan T,Student,Yes,2nd wave(2021),2nd wave(2021),My health was not affected,No,,,,4,Call,3,It became more interactive,3,Not relevant for me,Normal,Increase,No,Yes,No,None,Sometimes,Rarely,Rarely,Very Rare,Rarely,Stressed,Maybe,Yes,Maybe
10/12/2021 14:11:48,18,Female,India,Banaras,Student,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,5,Stressed,2,Text,5,Interaction became difficult,5,Not relevant for me,Declined,Increase,Yes,Yes,Yes,Loan,Most of the time,Most of the time,Most of the time,sometimes,Most of the times,Stressed,Yes,Yes,Maybe
10/12/2021 14:20:58,22,Female,India,Uttar Pradesh,Student,Yes,Similar during both,2nd wave(2021),2nd wave(2021),No,,,,3,Text,1,Interaction became difficult,3,Not relevant for me,Improved,Decrease,No,Yes,No,None,Most of the time,Most of the time,Most of the time,Every other day,Most of the times,Normal,Yes,Yes,No
10/12/2021 14:25:50,35,Male,India,Odisha,Private Sector,No,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,5,Stressed,3,Call,5,It became more interactive,4,Pay /Income decreased,Improved,No change,No,No,,,Most of the time,Sometimes,Most of the time,sometimes,Sometimes,Stressed,Yes,Yes,Maybe
10/12/2021 14:27:48,21,Male,India,Jharkhand,Student,No,Similar during both,2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member",5,Stressed,2,Video Call,5,Interaction completely stopped,2,Pay /Income decreased,Declined,Increase,No,Yes,No,None,Sometimes,Most of the time,Most of the time,Very Rare,Sometimes,Stressed,Maybe,Yes,No
10/12/2021 14:30:25,40,Female,India,Delhi,Education,Yes,Similar during both,Similar during both,2nd wave(2021),Yes,Family member,3,Little worried,2,Video Call,2,I felt no change,2,No Change,Declined,Increase,No,No,,,Rarely,Rarely,Never,Not at all,Never,Stressed,Maybe,Yes,Yes
10/12/2021 14:31:45,29,Male,India,Delhi,Corporate,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,"Myself, Family member, Close friend",3,Little worried,3,Call,3,Interaction became difficult,4,No Change,Not relevant for me,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Very Rare,Sometimes,Stressed,Yes,Yes,Yes
10/12/2021 14:32:06,34,Male,INDIA,Uttar Pradesh,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Myself,4,Little worried,3,Video Call,2,It became more interactive,5,Not relevant for me,Declined,Increase,No,Yes,Yes,Insurance,Never,Sometimes,Sometimes,sometimes,Rarely,Normal,Yes,Yes,Yes
10/12/2021 14:33:39,20,Female,India,Uttar Pradesh,Student,No,Similar during both,2nd wave(2021),My health was not affected,Yes,Family member,3,Stressed,2,Call,4,Interaction became difficult,4,Not relevant for me,Normal,Increase,No,Yes,Yes,None,Sometimes,Most of the time,Sometimes,Every other day,Most of the times,Stressed,No,Maybe,Yes
10/12/2021 14:38:24,20,Female,India,Uttar Pradesh,Student,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,5,Stressed,1,Call,5,Interaction became difficult,2,Pay /Income decreased,Declined,No change,No,Yes,Yes,None,Most of the time,Most of the time,Most of the time,Very Rare,Sometimes,Stressed,Yes,Yes,Maybe
10/12/2021 14:38:47,19,Male,India,Karnataka,Student,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Myself,2,Little worried,2,Text,4,I felt no change,4,No Change,Normal,Increase,No,Yes,No,None,Rarely,Sometimes,Rarely,sometimes,Rarely,Normal,Yes,Yes,Maybe
10/12/2021 14:42:30,23,Female,INDIA,Priya Kumari,Student,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Family member,4,Stressed,3,Text,5,Interaction became difficult,3,No Change,Declined,Increase,Yes,Yes,Yes,Insurance,Most of the time,Sometimes,Rarely,sometimes,Most of the times,Stressed,Yes,Maybe,No
10/12/2021 14:43:37,19,Male,India,Andra Pradesh,Student,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Family member,3,Little worried,3,Video Call,5,Interaction became difficult,5,No Change,Declined,Increase,No,Yes,No,None,Most of the time,Sometimes,Most of the time,sometimes,Sometimes,Relaxed,No,Yes,No
10/12/2021 14:43:51,19,Male,India,Karnataka,Student,Yes,Similar during both,1st wave(2020),2nd wave(2021),Yes,"Myself, Close friend",1,Little worried,4,Call,3,It became more interactive,1,No Change,Declined,Increase,No,No,,,Most of the time,Most of the time,Most of the time,sometimes,Most of the times,Stressed,Yes,Yes,No
10/12/2021 14:46:33,23,Female,India,Bihar,Student,Yes,Similar during both,Similar during both,Similar during both,Yes,Myself,1,Little worried,4,Text,4,I felt no change,5,No Change,Normal,Increase,No,Yes,No,None,Most of the time,Most of the time,Most of the time,sometimes,Sometimes,Normal,Yes,Yes,Yes
10/12/2021 14:54:30,41,Female,India,Himachal Pradesh,Education,No,Similar during both,Similar during both,1st wave(2020),Yes,Family member,1,Little worried,1,Text,4,It became more interactive,5,No Change,Improved,Decrease,No,No,,,Sometimes,Never,Sometimes,sometimes,Sometimes,Not relevant,Maybe,Yes,No
10/12/2021 15:04:37,22,Male,India,Uttar Pradesh,Student,Yes,Similar during both,1st wave(2020),My health was not affected,No,,,,2,Call,4,Interaction completely stopped,4,Not relevant for me,Declined,Decrease,No,No,,,Sometimes,Rarely,Most of the time,sometimes,Rarely,Normal,Yes,Yes,Yes
10/12/2021 15:14:15,25,Female,India,Bihar,Student,No,Similar during both,Similar during both,2nd wave(2021),Yes,"Myself, Family member",2,Stressed,4,Video Call,3,It became more interactive,3,Not relevant for me,Normal,Increase,No,Yes,No,None,Most of the time,Most of the time,Most of the time,sometimes,Most of the times,Normal,Maybe,Maybe,Maybe
10/12/2021 15:21:18,27,Female,India,Delhi,Student,No,Similar during both,Similar during both,2nd wave(2021),Yes,"Myself, Family member, Close friend",2,Little worried,4,Call,5,I felt no change,5,No Change,Declined,Decrease,No,No,,,Never,Never,Never,Not at all,Never,Not relevant,Yes,Yes,Yes
10/12/2021 15:21:46,70,Male,India,Karnataka,Retired,Yes,1st wave(2020),1st wave(2020),My health was not affected,Yes,Close friend,5,Little worried,3,Whats up,4,Interaction became difficult,2,Not relevant for me,Declined,Increase,No,Yes,No,None,Sometimes,Never,Most of the time,Not at all,Sometimes,Stressed,Yes,Maybe,Maybe
10/12/2021 15:30:19,21,Female,India,Bihar,Student,Yes,1st wave(2020),2nd wave(2021),2nd wave(2021),Yes,Close friend,2,Stressed,2,Call,4,Interaction became difficult,1,Not relevant for me,Declined,Decrease,No,Yes,No,None,Most of the time,Most of the time,Most of the time,sometimes,Rarely,Stressed,No,Yes,Maybe
10/12/2021 15:34:04,27,Male,India,Himachal Pradesh,Government,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,"Family member, Close friend",4,Little worried,3,Video Call,5,Interaction became difficult,3,Got new job / Started new Business,Improved,Increase,No,Yes,Yes,None,Sometimes,Most of the time,Most of the time,sometimes,Sometimes,Not relevant,No,Yes,Maybe
10/12/2021 15:36:22,21,Female,India,UP,Student,No,Similar during both,Similar during both,Similar during both,Yes,Close friend,3,Stressed,2,Call,3,Interaction became difficult,3,Not relevant for me,Declined,Decrease,No,Yes,No,Loan,Most of the time,Most of the time,Most of the time,sometimes,Most of the times,Stressed,Yes,Yes,No
10/12/2021 15:37:41,20,Female,India,Uttar Pradesh,Student,Yes,Similar during both,Similar during both,2nd wave(2021),Yes,Close friend,1,Little worried,4,Call,5,Interaction became difficult,1,Not relevant for me,Declined,No change,No,Yes,No,None,Most of the time,Most of the time,Most of the time,Very Rare,Most of the times,Stressed,Yes,Yes,No
10/12/2021 15:52:37,30,Female,India,Haryana,Corporate,Yes,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,3,Little worried,1,Video Call,4,Interaction completely stopped,5,Pay /Income decreased,Not relevant for me,Decrease,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,sometimes,Rarely,Stressed,Maybe,Yes,No
10/12/2021 15:53:07,24,Female,India,Bihar,Student,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,2,Little worried,2,Text,4,I felt no change,3,No Change,Normal,Decrease,No,No,,,Rarely,Rarely,Rarely,sometimes,Rarely,Relaxed,Yes,Yes,Yes
10/12/2021 15:53:56,23,Male,India,Madhya Pradesh,Student,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,"Family member, Close friend",4,Stressed,4,Call,5,It became more interactive,1,Not relevant for me,Declined,No change,No,No,,,Sometimes,Never,Sometimes,Not at all,Never,Normal,Yes,Yes,Yes
10/12/2021 15:59:53,18,Male,India,Uttar Pradesh,Student,Yes,1st wave(2020),1st wave(2020),My health was not affected,Yes,Family member,2,Stressed,5,Text,5,Interaction completely stopped,4,Not relevant for me,Declined,No change,Yes,Yes,Yes,None,Sometimes,Rarely,Most of the time,Not at all,Most of the times,Stressed,Yes,No,Yes
10/12/2021 16:06:23,23,Female,India,Bihar,Not employed,No,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,3,Little worried,1,Text,5,Interaction became difficult,5,Pay /Income decreased,Declined,Decrease,No,Yes,No,None,Most of the time,Sometimes,Sometimes,Not at all,Sometimes,Normal,Yes,Yes,Yes
10/12/2021 16:10:35,19,Female,India,Uttar Pradesh,Student,Yes,Similar during both,1st wave(2020),2nd wave(2021),Yes,Close friend,3,Stressed,4,Text,5,I felt no change,4,No Change,Improved,Increase,No,No,,,Sometimes,Sometimes,Sometimes,sometimes,Sometimes,Relaxed,Yes,Yes,Yes
10/12/2021 16:22:12,21,Male,India,Jharkhand,Student,No,1st wave(2020),Similar during both,My health was not affected,Yes,Family member,2,Little worried,3,Call,4,I felt no change,4,Not relevant for me,Normal,Decrease,No,Yes,Yes,None,Sometimes,Sometimes,Sometimes,sometimes,Rarely,Relaxed,No,Yes,Maybe
10/12/2021 16:25:10,28,Male,India,UTTAR PRADESH,Education,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",5,Stressed,3,Call,3,Interaction became difficult,3,Pay /Income decreased,Declined,Increase,No,Yes,No,Loan,Most of the time,Most of the time,Most of the time,Every other day,Most of the times,Stressed,Yes,No,No
10/12/2021 16:27:14,20,Male,india,DELHI,Student,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,Family member,4,Stressed,2,Text,2,Interaction became difficult,4,Pay /Income decreased,Declined,Decrease,No,Yes,No,None,Sometimes,Sometimes,Rarely,Every other day,Sometimes,Normal,Yes,Yes,No
10/12/2021 16:36:27,34,Male,India,Himachal Pradesh,PSU,No,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Close friend,5,Stressed,1,Call,4,Interaction became difficult,5,Pay /Income decreased,Declined,Increase,No,Yes,No,None,Most of the time,Sometimes,Sometimes,Very Rare,Rarely,Not relevant,No,Yes,No
10/12/2021 16:39:51,23,Male,India,Other,Corporate,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",4,Stressed,2,Call,3,Interaction became difficult,3,Got new job / Started new Business,Improved,Decrease,Yes,No,,,Sometimes,Sometimes,Rarely,Not at all,Rarely,Relaxed,No,Yes,Yes
10/12/2021 16:48:04,20,Female,India,Uttar Pradesh,Student,Yes,Similar during both,Similar during both,2nd wave(2021),No,,,,1,Text,3,I felt no change,5,No Change,Declined,No change,No,No,,,Rarely,Rarely,Sometimes,Very Rare,Rarely,Normal,Yes,Yes,Yes
