timestamp,age,gender,country,state,occupation,work_in_state,diff_financial,diff_emotional,diff_health,suffer_y_n,suffer_who,suffer_cond,suffer_feel,connect_friends,connect_method,connect_family,connect_collegues,rely_help,affected_occupation,affected_studies,House_expend,govt_help,extra_expend,health_insurance,loan,emo_anxious_future,emo_lonely,emo_frustrated,emo_argument,emo_depressed,emo_change,future_lockdown,future_self,future_govt
2021-10-12 13:30:00,58,Male,India,Jharkhand,Business,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Myself,4.0,Stressed,1,Call,4,Interaction became difficult,5,Pay /Income decreased,Not relevant for me,Increase,Yes,Yes,No,None,Rarely,Rarely,Never,Never,Never,Normal,Maybe,No,Maybe
2021-10-12 13:40:04,27,Male,India,Maharashtra,Corporate/ Private,No,1st wave(2020),1st wave(2020),My health was not affected,Yes,Myself,1.0,Little worried,4,Video Call,4,I felt no change,5,No Change,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Normal,No,Yes,Maybe
2021-10-12 13:40:33,31,Female,INDIA,Himanchal Pradesh,Education,No,Similar during both,1st wave(2020),My health was not affected,Yes,Family member,3.0,Little worried,1,Call,3,I felt no change,4,Not relevant for me,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Not relevant,Yes,Maybe,Yes
2021-10-12 13:46:53,51,Female,India,Karnataka,Education,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,Myself,1.0,Little worried,4,Call,3,It became more interactive,4,Lost job/ Business Closed,Not relevant for me,Increase,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Stressed,Yes,Yes,Yes
2021-10-12 14:02:25,20,Male,India,Uttar Pradesh,Corporate/ Private,Yes,Similar during both,Similar during both,My health was not affected,No,,,,5,Call,1,I felt no change,1,Not relevant for me,Declined,Decrease,No,No,,,Never,Rarely,Never,Most of the time,Never,Relaxed,No,Yes,Yes
2021-10-12 14:03:33,27,Female,India,Uttar Pradesh,Education,Yes,Similar during both,1st wave(2020),1st wave(2020),Yes,Family member,4.0,Stressed,3,Video Call,4,I felt no change,4,Pay /Income increased,Declined,Increase,No,Yes,Yes,Insurance,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Stressed,No,Yes,Yes
2021-10-12 14:25:50,35,Male,India,Odisha,Corporate/ Private,No,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,5.0,Stressed,3,Call,5,It became more interactive,4,Pay /Income decreased,Improved,No change,No,No,,,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Stressed,Yes,Yes,Maybe
2021-10-12 14:30:25,40,Female,India,Delhi,Education,Yes,Similar during both,Similar during both,2nd wave(2021),Yes,Family member,3.0,Little worried,2,Video Call,2,I felt no change,2,No Change,Declined,Increase,No,No,,,Rarely,Rarely,Never,Never,Never,Stressed,Maybe,Yes,Yes
2021-10-12 14:31:45,29,Male,India,Delhi,Corporate/ Private,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,"Myself, Family member, Close friend",3.0,Little worried,3,Call,3,Interaction became difficult,4,No Change,Not relevant for me,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Rarely,Sometimes,Stressed,Yes,Yes,Yes
2021-10-12 14:32:06,34,Male,INDIA,Uttar Pradesh,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Myself,4.0,Little worried,3,Video Call,2,It became more interactive,5,Not relevant for me,Declined,Increase,No,Yes,Yes,Insurance,Never,Sometimes,Sometimes,Sometimes,Rarely,Normal,Yes,Yes,Yes
2021-10-12 14:54:30,41,Female,India,Himanchal Pradesh,Education,No,Similar during both,Similar during both,1st wave(2020),Yes,Family member,1.0,Little worried,1,Text,4,It became more interactive,5,No Change,Improved,Decrease,No,No,,,Sometimes,Never,Sometimes,Sometimes,Sometimes,Not relevant,Maybe,Yes,No
2021-10-12 15:21:46,70,Male,India,Karnataka,Others,Yes,1st wave(2020),1st wave(2020),My health was not affected,Yes,Close friend,5.0,Little worried,3,Text,4,Interaction became difficult,2,Not relevant for me,Declined,Increase,No,Yes,No,None,Sometimes,Never,Most of the time,Never,Sometimes,Stressed,Yes,Maybe,Maybe
2021-10-12 15:34:04,27,Male,India,Himanchal Pradesh,Government,Yes,1st wave(2020),1st wave(2020),2nd wave(2021),Yes,"Family member, Close friend",4.0,Little worried,3,Video Call,5,Interaction became difficult,3,Got new job / Started new Business,Improved,Increase,No,Yes,Yes,None,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Not relevant,No,Yes,Maybe
2021-10-12 15:52:37,30,Female,India,Haryana,Corporate/ Private,Yes,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,3.0,Little worried,1,Video Call,4,Interaction completely stopped,5,Pay /Income decreased,Not relevant for me,Decrease,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,Sometimes,Rarely,Stressed,Maybe,Yes,No
2021-10-12 16:06:23,23,Female,India,Bihar,Not employed/ Homemaker,No,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,3.0,Little worried,1,Text,5,Interaction became difficult,5,Pay /Income decreased,Declined,Decrease,No,Yes,No,None,Most of the time,Sometimes,Sometimes,Never,Sometimes,Normal,Yes,Yes,Yes
2021-10-12 16:25:10,28,Male,India,Uttar Pradesh,Education,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",5.0,Stressed,3,Call,3,Interaction became difficult,3,Pay /Income decreased,Declined,Increase,No,Yes,No,Loan,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Stressed,Yes,No,No
2021-10-12 16:36:27,34,Male,India,Himanchal Pradesh,Others,No,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Close friend,5.0,Stressed,1,Call,4,Interaction became difficult,5,Pay /Income decreased,Declined,Increase,No,Yes,No,None,Most of the time,Sometimes,Sometimes,Rarely,Rarely,Not relevant,No,Yes,No
2021-10-12 16:39:51,23,Male,India,Others,Corporate/ Private,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",4.0,Stressed,2,Call,3,Interaction became difficult,3,Got new job / Started new Business,Improved,Decrease,Yes,No,,,Sometimes,Sometimes,Rarely,Never,Rarely,Relaxed,No,Yes,Yes
2021-10-12 18:21:43,50,Female,India,Jharkhand,Not employed/ Homemaker,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Family member,4.0,Stressed,3,Call,3,Interaction became difficult,3,Not relevant for me,Not relevant for me,No change,Yes,Yes,No,None,Sometimes,Never,Never,Never,Sometimes,Not relevant,No,Maybe,Maybe
2021-10-12 18:25:23,32,Male,India,Himanchal Pradesh,Government,No,2nd wave(2021),2nd wave(2021),1st wave(2020),Yes,"Myself, Family member, Close friend",3.0,Stressed,3,Call,5,It became more interactive,3,No Change,Not relevant for me,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Stressed,No,Yes,No
2021-10-12 19:42:36,37,Male,India,Himanchal Pradesh,Business,No,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Close friend,4.0,Stressed,1,Call,1,Interaction became difficult,3,Pay /Income decreased,Declined,Decrease,No,No,,,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Stressed,Maybe,Yes,No
2021-10-12 20:08:48,30,Female,India,Chandigarh,Not employed/ Homemaker,No,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Family member,3.0,Stressed,3,Call,4,I felt no change,5,Not relevant for me,Not relevant for me,Decrease,No,Yes,Yes,None,Sometimes,Never,Most of the time,Rarely,Sometimes,Not relevant,Yes,Maybe,Yes
2021-10-12 20:43:28,33,Female,India,Himanchal Pradesh,Government,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Myself,1.0,Stressed,3,Video Call,3,Interaction became difficult,1,No Change,Normal,Increase,No,No,,,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Stressed,No,No,No
2021-10-12 20:45:50,56,Male,India,Himanchal Pradesh,Government,Yes,1st wave(2020),1st wave(2020),My health was not affected,Yes,Close friend,5.0,Little worried,5,Call,1,I felt no change,1,No Change,Improved,Decrease,No,No,,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Not relevant,No,Yes,Yes
2021-10-12 20:49:13,35,Female,India,Uttar Pradesh,Education,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,4.0,Stressed,5,Video Call,4,It became more interactive,4,Not relevant for me,Declined,Increase,No,No,,,Most of the time,Never,Sometimes,Rarely,Sometimes,Not relevant,Yes,Yes,Yes
2021-10-12 20:58:12,56,Male,India,Himanchal Pradesh,Government,Yes,2nd wave(2021),Similar during both,1st wave(2020),Yes,"Myself, Family member",2.0,Stressed,4,Call,5,Interaction became difficult,4,Pay /Income decreased,Not relevant for me,No change,No,Yes,No,None,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Not relevant,Yes,Yes,Yes
2021-10-12 21:24:07,35,Male,India,Himanchal Pradesh,Others,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,Close friend,3.0,Little worried,2,Call,5,Interaction became difficult,2,No Change,Not relevant for me,No change,No,No,,,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Not relevant,Yes,Yes,Maybe
2021-10-12 21:43:26,56,Male,India,Bihar,Medical,Yes,1st wave(2020),2nd wave(2021),1st wave(2020),Yes,"Myself, Family member, Close friend",1.0,Not worried,1,Video Call,1,It became more interactive,3,Pay /Income decreased,Not relevant for me,Increase,No,Yes,Yes,Insurance,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Normal,Yes,Yes,Maybe
2021-10-12 21:56:56,34,Female,INDIA,Jharkhand,Not employed/ Homemaker,No,Similar during both,1st wave(2020),My health was not affected,Yes,Family member,4.0,Little worried,5,Call,4,It became more interactive,2,Not relevant for me,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Sometimes,Rarely,Never,Rarely,Not relevant,Maybe,No,Yes
2021-10-12 22:07:46,58,Male,India,Jharkhand,Corporate/ Private,Yes,Similar during both,Similar during both,My health was not affected,No,,,,3,Call,4,Interaction completely stopped,2,No Change,Declined,Decrease,No,No,,,Sometimes,Never,Never,Rarely,Never,Not relevant,Maybe,Maybe,Maybe
2021-10-12 22:55:25,47,Female,India,Uttar Pradesh,Not employed/ Homemaker,Yes,Similar during both,Similar during both,Similar during both,Yes,"Myself, Family member",3.0,Stressed,2,Video Call,2,Interaction became difficult,3,Not relevant for me,Not relevant for me,Increase,Yes,Yes,Yes,None,Never,Never,Never,Sometimes,Rarely,Not relevant,Maybe,Maybe,Maybe
2021-10-12 23:05:30,34,Female,India,Haryana,Government,No,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,4.0,Stressed,3,Call,4,I felt no change,3,No Change,Not relevant for me,Decrease,Yes,No,,,Sometimes,Sometimes,Never,Never,Sometimes,Not relevant,Yes,Yes,Maybe
2021-10-13 10:41:54,45,Male,India,Himanchal Pradesh,Education,Yes,Similar during both,Similar during both,My health was not affected,No,,,,5,Others,5,I felt no change,5,Pay /Income decreased,Improved,Increase,No,No,,,Rarely,Never,Never,Never,Never,Normal,Yes,Yes,Yes
2021-10-13 11:19:26,33,Male,India,Jharkhand,Government,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),No,,,,4,Call,3,Interaction became difficult,5,Pay /Income decreased,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Most of the time,Sometimes,Never,Rarely,Normal,Maybe,Maybe,No
2021-10-13 14:24:24,30,Female,India,Haryana,Education,Yes,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,4.0,Stressed,5,Video Call,5,It became more interactive,5,Lost job/ Business Closed,Not relevant for me,Increase,No,Yes,Yes,None,Most of the time,Never,Sometimes,Sometimes,Rarely,Stressed,Maybe,Yes,No
2021-10-13 17:11:10,30,Female,India,Karnataka,Education,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Myself,3.0,Not worried,1,Text,5,I felt no change,4,Pay /Income decreased,Not relevant for me,Decrease,No,No,,,Never,Never,Sometimes,Never,Never,Not relevant,Yes,Yes,Yes
2021-10-13 17:35:57,29,Female,India,Karnataka,Not employed/ Homemaker,Yes,Similar during both,1st wave(2020),1st wave(2020),Yes,Family member,3.0,Little worried,2,Call,4,I felt no change,4,Not relevant for me,Improved,Decrease,No,No,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Normal,Yes,Yes,Yes
2021-10-13 18:34:17,30,Male,India,Punjab,Corporate/ Private,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,2.0,Not worried,3,Video Call,3,I felt no change,3,No Change,Not relevant for me,Decrease,No,No,,,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Not relevant,Yes,Yes,Yes
2021-10-13 20:41:14,28,Female,India,Uttar Pradesh,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Close friend,2.0,Stressed,4,Video Call,3,I felt no change,3,Pay /Income decreased,Not relevant for me,Increase,Yes,Yes,Yes,None,Most of the time,Rarely,Rarely,Never,Rarely,Normal,No,Yes,Yes
2021-10-13 21:10:55,22,Female,India,Karnataka,Corporate/ Private,Yes,2nd wave(2021),2nd wave(2021),Similar during both,Yes,Close friend,3.0,Stressed,2,Text,3,Interaction became difficult,4,No Change,Declined,Decrease,No,Yes,Yes,None,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Normal,Maybe,Yes,No
2021-10-13 21:15:23,22,Female,India,Bihar,Business,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",5.0,Stressed,3,Text,3,I felt no change,3,Got new job / Started new Business,Declined,No change,No,Yes,Yes,None,Sometimes,Sometimes,Most of the time,Never,Sometimes,Normal,Yes,Yes,Maybe
2021-10-13 23:25:34,36,Male,India,Chhattisgarh,Education,No,Similar during both,2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",3.0,Stressed,3,Call,4,Interaction became difficult,3,Pay /Income decreased,Not relevant for me,Decrease,No,Yes,Yes,None,Most of the time,Sometimes,Sometimes,Rarely,Sometimes,Normal,Yes,Yes,Yes
2021-10-13 23:42:54,35,Female,India,Maharashtra,Business,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,Myself,2.0,Stressed,1,Text,3,Interaction became difficult,3,Not relevant for me,Not relevant for me,No change,No,No,,,Never,Never,Sometimes,Never,Rarely,Not relevant,Maybe,Yes,Yes
2021-10-14 08:45:40,42,Male,India,Karnataka,Education,Yes,Similar during both,1st wave(2020),My health was not affected,Yes,Close friend,2.0,Little worried,3,Call,3,I felt no change,3,No Change,Not relevant for me,No change,No,Yes,Yes,None,Never,Rarely,Rarely,Never,Never,Not relevant,No,Yes,Yes
2021-10-14 16:24:14,37,Male,India,Uttar Pradesh,Education,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,Close friend,5.0,Little worried,3,Video Call,3,Interaction completely stopped,3,Pay /Income decreased,Not relevant for me,No change,No,Yes,No,None,Sometimes,Never,Sometimes,Sometimes,Sometimes,Stressed,Yes,Yes,Yes
2021-10-14 18:33:52,30,Female,India,Delhi,Corporate/ Private,Yes,Similar during both,2nd wave(2021),My health was not affected,Yes,"Family member, Close friend",2.0,Little worried,4,Video Call,3,I felt no change,5,No Change,Not relevant for me,No change,No,No,,,Rarely,Rarely,Most of the time,Rarely,Sometimes,Normal,Maybe,Yes,Maybe
2021-10-16 11:04:41,27,Female,India,Maharashtra,Corporate/ Private,Yes,1st wave(2020),1st wave(2020),1st wave(2020),Yes,Close friend,5.0,Stressed,5,Text,5,It became more interactive,5,Not relevant for me,Improved,No change,No,Yes,Yes,None,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Normal,No,Yes,No
2021-10-16 11:09:29,28,Male,India,Uttar Pradesh,Corporate/ Private,No,Similar during both,2nd wave(2021),1st wave(2020),Yes,Family member,4.0,Stressed,3,Call,5,I felt no change,3,No Change,Not relevant for me,Decrease,No,Yes,No,None,Sometimes,Never,Never,Never,Never,Not relevant,Yes,Yes,Yes
2021-10-16 11:24:21,21,Male,India,Uttar Pradesh,Corporate/ Private,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Family member, Close friend",3.0,Stressed,4,Call,4,Interaction became difficult,4,Pay /Income decreased,Declined,Decrease,No,Yes,No,None,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Normal,Yes,Yes,Maybe
2021-10-16 11:28:10,29,Female,India,Uttar Pradesh,Corporate/ Private,Yes,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Family member,5.0,Stressed,2,Text,5,Interaction completely stopped,1,No Change,Normal,Increase,No,Yes,No,None,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Normal,Maybe,Yes,Maybe
2021-10-16 11:48:12,37,Male,India,Himanchal Pradesh,Business,No,1st wave(2020),1st wave(2020),My health was not affected,No,,,,5,Call,5,Interaction completely stopped,5,No Change,Declined,No change,No,No,,,Sometimes,Sometimes,Most of the time,Never,Most of the time,Normal,Maybe,Maybe,Maybe
2021-10-16 11:50:38,26,Female,India,Others,Business,Yes,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,5.0,Stressed,3,Video Call,5,Interaction became difficult,5,Pay /Income decreased,Declined,Decrease,No,No,,,Rarely,Sometimes,Sometimes,Never,Sometimes,Normal,Yes,Yes,Yes
2021-10-16 12:06:39,26,Female,India,Haryana,Corporate/ Private,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,5.0,Stressed,2,Text,3,Interaction became difficult,5,No Change,Not relevant for me,Increase,No,Yes,Yes,Insurance,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Stressed,Yes,Yes,No
2021-10-16 12:29:01,27,Female,India,Maharashtra,Corporate/ Private,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member, Close friend",3.0,Stressed,2,Text,4,Interaction completely stopped,4,Pay /Income decreased,Improved,Decrease,No,Yes,Yes,None,Most of the time,Sometimes,Most of the time,Never,Sometimes,Stressed,Yes,Yes,Maybe
2021-10-16 12:50:17,33,Female,India,Haryana,Government,Yes,Similar during both,2nd wave(2021),1st wave(2020),Yes,"Myself, Family member, Close friend",3.0,Stressed,5,Text,4,Interaction became difficult,3,Pay /Income decreased,Normal,Decrease,No,Yes,No,None,Most of the time,Sometimes,Sometimes,Sometimes,Rarely,Stressed,Yes,Yes,Maybe
2021-10-16 13:02:39,22,Female,India,Rajasthan,Corporate/ Private,Yes,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Family member,1.0,Little worried,4,Video Call,4,Interaction became difficult,4,Not relevant for me,Declined,Decrease,No,Yes,Yes,None,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Normal,Maybe,Yes,Maybe
2021-10-16 13:03:48,46,Female,India,Delhi,Education,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,4.0,Stressed,2,Call,2,Interaction became difficult,4,Pay /Income decreased,Not relevant for me,Increase,No,Yes,Yes,None,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Stressed,Maybe,Maybe,Yes
2021-10-16 14:56:38,30,Male,India,Himanchal Pradesh,Corporate/ Private,No,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,Family member,2.0,Little worried,2,Call,1,I felt no change,1,No Change,Not relevant for me,No change,No,Yes,Yes,None,Rarely,Never,Never,Sometimes,Never,Not relevant,Maybe,Yes,No
2021-10-16 15:18:10,28,Male,India,Uttar Pradesh,Corporate/ Private,No,1st wave(2020),1st wave(2020),1st wave(2020),Yes,"Myself, Family member, Close friend",4.0,Little worried,1,Text,5,Interaction completely stopped,4,No Change,Declined,Increase,No,Yes,No,Insurance,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Normal,Yes,Yes,No
2021-10-16 15:18:29,31,Male,India,Himanchal Pradesh,Government,Yes,Similar during both,Similar during both,My health was not affected,Yes,Family member,4.0,Little worried,5,Call,5,I felt no change,5,No Change,Not relevant for me,No change,No,Yes,No,None,Most of the time,Never,Rarely,Never,Rarely,Normal,Yes,Yes,Yes
2021-10-16 16:26:59,40,Male,India,Chhattisgarh,Business,Yes,1st wave(2020),2nd wave(2021),2nd wave(2021),Yes,Myself,2.0,Stressed,3,Text,3,I felt no change,5,Pay /Income increased,Not relevant for me,Increase,No,No,,,Sometimes,Rarely,Rarely,Never,Never,Normal,Yes,Yes,No
2021-10-16 16:27:19,31,Female,India,Maharashtra,Corporate/ Private,Yes,Similar during both,Similar during both,My health was not affected,Yes,Close friend,5.0,Stressed,4,Call,3,Interaction became difficult,5,No Change,Not relevant for me,Increase,No,Yes,Yes,None,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Stressed,Yes,Yes,No
2021-10-16 17:27:36,24,Female,India,Maharashtra,Corporate/ Private,No,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,4.0,Stressed,3,Video Call,5,Interaction became difficult,5,Pay /Income decreased,Not relevant for me,No change,No,Yes,Yes,None,Rarely,Sometimes,Most of the time,Never,Rarely,Normal,Maybe,Yes,No
2021-10-16 20:12:09,39,Female,India,Uttar Pradesh,Business,Yes,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,Family member,3.0,Stressed,3,Call,2,Interaction became difficult,4,Got new job / Started new Business,Not relevant for me,Decrease,No,Yes,No,None,Most of the time,Most of the time,Sometimes,Rarely,Never,Normal,Yes,Maybe,Maybe
2021-10-16 23:24:48,25,Male,India,Karnataka,Corporate/ Private,Yes,Similar during both,2nd wave(2021),2nd wave(2021),Yes,"Family member, Close friend",4.0,Stressed,1,Text,3,Interaction became difficult,2,No Change,Not relevant for me,Increase,No,Yes,No,None,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Stressed,No,Yes,No
2021-10-17 08:25:08,28,Female,India,Madhya Pradesh,Corporate/ Private,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),Yes,"Myself, Family member",4.0,Stressed,2,Call,3,I felt no change,3,No Change,Not relevant for me,Decrease,No,Yes,Yes,Insurance,Most of the time,Sometimes,Never,Sometimes,Sometimes,Stressed,Yes,Maybe,Maybe
2021-10-17 08:43:51,32,Female,India,Madhya Pradesh,Not employed/ Homemaker,No,2nd wave(2021),2nd wave(2021),My health was not affected,Yes,"Family member, Close friend",3.0,Stressed,4,Call,3,Interaction completely stopped,5,Not relevant for me,Not relevant for me,Increase,No,Yes,Yes,Loan,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Not relevant,Yes,Yes,Yes
2021-10-17 17:25:10,30,Male,India,Uttar Pradesh,Education,Yes,Similar during both,1st wave(2020),2nd wave(2021),Yes,Close friend,3.0,Little worried,2,Call,3,Interaction became difficult,4,Not relevant for me,Declined,Increase,No,No,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Stressed,Yes,Yes,Maybe
2021-10-18 11:07:07,27,Male,India,Uttar Pradesh,Corporate/ Private,Yes,1st wave(2020),2nd wave(2021),My health was not affected,Yes,Family member,2.0,Stressed,5,Video Call,4,It became more interactive,5,Got new job / Started new Business,Not relevant for me,Increase,No,No,,,Never,Never,Most of the time,Never,Sometimes,Normal,Yes,Yes,Yes
2021-10-18 11:13:13,27,Male,India,Uttar Pradesh,Corporate/ Private,No,2nd wave(2021),2nd wave(2021),2nd wave(2021),No,,,,5,Call,5,It became more interactive,5,No Change,Not relevant for me,No change,No,Yes,Yes,None,Never,Never,Never,Never,Never,Not relevant,Maybe,Maybe,Maybe
2021-10-18 11:26:11,25,Male,India,Uttar Pradesh,Corporate/ Private,Yes,Similar during both,Similar during both,Similar during both,Yes,Close friend,5.0,Stressed,5,Call,4,Interaction completely stopped,5,Lost job/ Business Closed,Improved,Increase,No,Yes,No,Loan,Most of the time,Most of the time,Most of the time,Rarely,Most of the time,Stressed,Maybe,Yes,Maybe
